NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA
Sulfosato;Quimico;0.050;S08;Sulfosato;81591813;NÃO;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
TIAMETOXAM;Quimico;0.100;T48;TIAMETOXAM;153719234;SIM;Mamão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 5.241, DE 12 DE DEZEMBRO DE 2012;13/12/2012 00:00:00.000000;
TIAMETOXAM;Quimico;0.020;T48;TIAMETOXAM;153719234;SIM;Arroz;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;20/07/2010 00:00:00.000000
Carfentrazona-etílica;Quimico;0.020;C49;Carfentrazona-etílica;128639021;SIM;Mandioca;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.753, DE 22 DE SETEMBRO DE 2014;23/09/2014 00:00:00.000000;
CIPRODINIL;Quimico;0.100;C47;CIPRODINIL;121552612;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 636, DE 09 DE MARÇO DE 2007;12/03/2007 00:00:00.000000;25/08/2019 00:00:00.000000
CLOROTALONIL;Quimico;0.100;C18;CLOROTALONIL;1897456;SIM;Berinjela;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;24/05/2009 00:00:00.000000
ACEFATO;Quimico;0.020;A02;ACEFATO;30560191;SIM;Amendoim;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 3.083, DE 17 DE NOVEMBRO DE 2016;21/11/2016 00:00:00.000000;
LAMBDA-CIALOTRINA;Quimico;0.200;C63;LAMBDA-CIALOTRINA;91465086;SIM;Pimenta;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 4.969, DE 30 DE DEZEMBRO DE 2014;02/01/2015 00:00:00.000000;
Fluxapiroxade;Quimico;0.030;F68;Fluxapiroxade;907204313;SIM;Alho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 1215/ANVISA 2016;13/05/2016 00:00:00.000000;
Fluopicolida;Quimico;0.050;F65;Fluopicolida;239110157;SIM;Cebola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 341/ANVISA 2015;05/02/2015 00:00:00.000000;
CLOTIANIDINA;Quimico;0.010;C64;CLOTIANIDINA;210880925;SIM;Cana-de-açúcar;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.840, DE 06 DE AGOSTO DE 2013;07/08/2013 00:00:00.000000;
FENAMIDONA;Quimico;0.020;F55;FENAMIDONA;161326347;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 3, DE 9 DE JANEIRO DE 2004;12/01/2004 00:00:00.000000;
Indaziflam;Quimico;0.010;I27;Indaziflam;950782862;SIM;Goiaba;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 686/ANVISA 2017;20/03/2017 00:00:00.000000;
METOMIL;Quimico;0.100;M17;METOMIL;16752775;SIM;Milheto;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 111, DE 13 DE JANEIRO DE 2017;16/01/2017 00:00:00.000000;
CLETODIM;Quimico;0.500;C32;CLETODIM;99129212;SIM;Inhame;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.185, DE 06 DE AGOSTO DE 2015;07/08/2015 00:00:00.000000;
CIPERMETRINAS (TODOS OS ISÔMEROS);Quimico;0.050;;CIPERMETRINAS (TODOS OS ISÔMEROS);;SIM;Maxixe;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.590, DE 18 DE SETEMBRO DE 2019;19/09/2019 00:00:00.000000;
PROFENOFÓS;Quimico;0.100;P13;PROFENOFÓS;41198087;SIM;Pepino;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
PROCIMIDONA;Quimico;2.000;P33;PROCIMIDONA;32809168;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 6, DE 9 DE JANEIRO DE 2004;12/01/2004 00:00:00.000000;
TIRAM;Quimico;0.300;T16;TIRAM;137268;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CAPTANA;Quimico;15.000;C02;CAPTANA;133062;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
BIFENTRINA;Quimico;1.000;B26;BIFENTRINA;82657043;SIM;Pastagens;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.892, DE 15 DE JULHO DE 2016;18/07/2016 00:00:00.000000;
CIFLUTRINA;Quimico;0.020;C30;CIFLUTRINA;68359375;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
ALFA-CIPERMETRINA;Quimico;0.050;C58;ALFA-CIPERMETRINA;67375308;SIM;Girassol;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.392, DE 3 DE SETEMBRO DE 2014;04/09/2014 00:00:00.000000;
LUFENUROM;Quimico;0.030;L05;LUFENUROM;103055078;SIM;Pêssego;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 78, DE 14 DE JANEIRO DE 2010;18/01/2010 00:00:00.000000;07/11/2019 00:00:00.000000
Fluxapiroxade;Quimico;0.700;F68;Fluxapiroxade;907204313;SIM;Kiwi;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO- RE N°2.365, DE AGOSTO DE 2019;26/08/2019 00:00:00.000000;
Flupiradifurone;Quimico;2.000;F69;Flupiradifurone;951659408;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 801/ANVISA 2018;02/04/2018 00:00:00.000000;
LAMBDA-CIALOTRINA;Quimico;0.010;C63;LAMBDA-CIALOTRINA;91465086;SIM;Gergelim;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 4.969, DE 30 DE DEZEMBRO DE 2014;02/01/2015 00:00:00.000000;
ETOFENPROXI;Quimico;0.020;E19;ETOFENPROXI;80844071;SIM;Couve-Flor;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 649, DE 10 DE MARÇO DE 2017;13/03/2017 00:00:00.000000;
Glufosinato;Quimico;0.050;G05;Glufosinato;51276472;SIM;Alface;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
PENDIMETALINA;Quimico;0.100;P05;PENDIMETALINA;40487421;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Espinetoram;Quimico;1.500;E32;Espinetoram;187166401;SIM;Espinafre;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 3.459, DE 03 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
BIFENTRINA;Quimico;0.150;B26;BIFENTRINA;82657043;SIM;Acelga;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.387, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
Trinexapaque-etílico;Quimico;0.020;T56;Trinexapaque-etílico;95266403;SIM;Cevada;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Saflufenacil;Quimico;0.030;S16;Saflufenacil;372137354;SIM;Milho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 3939/ANVISA 2014;09/10/2014 00:00:00.000000;
TEBUCONAZOL;Quimico;0.100;T32;TEBUCONAZOL;107534963;SIM;Chalota;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 695, DE 17 DE MARÇO DE 2017;20/03/2017 00:00:00.000000;
TETRACONAZOL;Quimico;0.300;T46;TETRACONAZOL;112281773;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CLORPIRIFÓS;Quimico;0.010;C20;CLORPIRIFÓS;2921882;SIM;Banana;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CIPRODINIL;Quimico;0.500;C47;CIPRODINIL;121552612;SIM;Mamão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 636, DE 09 DE MARÇO DE 2007;12/03/2007 00:00:00.000000;
CIPERMETRINAS (TODOS OS ISÔMEROS);Quimico;0.500;;CIPERMETRINAS (TODOS OS ISÔMEROS);;SIM;Centeio;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.350, DE 25 DE MAIO DE 2018;28/05/2018 00:00:00.000000;
ALFA-CIPERMETRINA;Quimico;0.100;C58;ALFA-CIPERMETRINA;67375308;SIM;Aveia;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.392, DE 3 DE SETEMBRO DE 2014;04/09/2014 00:00:00.000000;04/06/2017 00:00:00.000000
FENPROPATRINA;Quimico;1.000;F28;FENPROPATRINA;39515418;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.213, DE 12 DE MAIO DE 2016;13/05/2016 00:00:00.000000;23/04/2017 00:00:00.000000
Fluazinam;Quimico;0.050;F47;Fluazinam;79622596;SIM;Ervilha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 1083/ANVISA 2017;24/04/2017 00:00:00.000000;
FLUTRIAFOL;Quimico;0.100;F36;FLUTRIAFOL;76674210;SIM;Abobrinha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 4.703, DE 5 DE DEZEMBRO DE 2014;08/12/2014 00:00:00.000000;27/08/2017 00:00:00.000000
DITIOCARBAMATOS;Quimico;0.300;;DITIOCARBAMATOS;;SIM;Amendoim;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
ETOFENPROXI;Quimico;0.050;E19;ETOFENPROXI;80844071;SIM;Pêssego;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 554, DE 09 DE FEVEREIRO DE 2011;11/02/2011 00:00:00.000000;07/01/2018 00:00:00.000000
IMAZETAPIR;Quimico;0.100;I10;IMAZETAPIR;81335775;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 1.742, DE 30 DE JUNHO DE 2016;04/07/2016 00:00:00.000000;
PERMETRINA;Quimico;0.100;P06;PERMETRINA;52645531;SIM;Arroz;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
FLUENSULFONA;Quimico;0.050;F70;FLUENSULFONA;318290981;SIM;Cebola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 3.576, DE 17 DE DEZEMBRO DE 2019;18/12/2019 00:00:00.000000;
ALFA-CIPERMETRINA;Quimico;0.050;C58;ALFA-CIPERMETRINA;67375308;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.350, DE 25 DE MAIO DE 2018;28/05/2018 00:00:00.000000;
ABAMECTINA;Quimico;0.005;A18;ABAMECTINA;71751412;SIM;Cana-de-açúcar;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 445, DE 10 DE FEVEREIRO DE 2010;11/02/2010 00:00:00.000000;
PIRAZOFÓS;Quimico;0.200;P09;PIRAZOFÓS;13457186;NÃO;Maçã;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
TIAMETOXAM;Quimico;0.020;T48;TIAMETOXAM;153719234;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.898, DE 15 DE JULHO DE 2016;18/07/2016 00:00:00.000000;
TIAMETOXAM;Quimico;1.000;T48;TIAMETOXAM;153719234;SIM;Cebolinha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 5.241, DE 12 DE DEZEMBRO DE 2012;13/12/2012 00:00:00.000000;
BETA-CIPERMETRINA;Quimico;0.020;C59;BETA-CIPERMETRINA;65731842;SIM;Cebola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.340, DE 17 DE AGOSTO DE 2015;19/08/2015 00:00:00.000000;27/05/2018 00:00:00.000000
CLORANTRANILIPROLE;Quimico;0.400;C70;CLORANTRANILIPROLE;500008457;SIM;Cevada;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 5.242, DE 12 DE DEZEMBRO DE 2012;13/12/2012 00:00:00.000000;
Acetato de fentina;Quimico;0.050;F59.1;Acetato de fentina;900958;NÃO;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
FENPIROXIMATO;Quimico;0.100;F37;FENPIROXIMATO;134098616;SIM;Romã;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº3.369, DE 7 DE DEZEMBRO DE 2015;08/12/2015 00:00:00.000000;
Fluxapiroxade;Quimico;0.300;F68;Fluxapiroxade;907204313;SIM;Côco;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO- RE N°2.365, DE AGOSTO DE 2019;26/08/2019 00:00:00.000000;
INDOXACARBE;Quimico;0.050;I21;INDOXACARBE;173584446;SIM;Abobrinha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.446, DE 08 DE SETEMBRO DE 2014;09/09/2014 00:00:00.000000;07/08/2016 00:00:00.000000
Cromafenozida;Quimico;0.100;C67;Cromafenozida;143807663;SIM;Citros;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 3.342, DE 21 DE DEZEMBRO DE 2006;26/12/2005 00:00:00.000000;
FAMOXADONA;Quimico;0.050;F53;FAMOXADONA;131807573;SIM;Melancia;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;24/01/2016 00:00:00.000000
Indaziflam;Quimico;0.010;I27;Indaziflam;950782862;SIM;Maçã;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 686/ANVISA 2017;20/03/2017 00:00:00.000000;
PIRACLOSTROBINA;Quimico;0.020;P46;PIRACLOSTROBINA;175013180;SIM;Mandioca;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 4.978, DE 30 DE DEZEMBRO DE 2014;02/01/2015 00:00:00.000000;15/05/2018 00:00:00.000000
CLETODIM;Quimico;0.050;C32;CLETODIM;99129212;SIM;Caqui;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.756, DE 2 DE OUTUBRO DE 2019;04/10/2019 00:00:00.000000;
DIAFENTIUROM;Quimico;0.500;D41;DIAFENTIUROM;80060099;SIM;Repolho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 3.451, DE 3 DE SETEMBRO DE 2020;08/09/2020 00:00:00.000000;
ABAMECTINA;Quimico;0.005;A18;ABAMECTINA;71751412;SIM;Mamão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TEBUCONAZOL;Quimico;0.700;T32;TEBUCONAZOL;107534963;SIM;Acerola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 667, DE 11 DE MARÇO DE 2016;14/03/2016 00:00:00.000000;
TEFLUBENZUROM;Quimico;0.050;T33;TEFLUBENZUROM;83121180;SIM;Batata yacon;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.588, DE 18 DE SETEMBRO DE 2019;19/09/2019 00:00:00.000000;
TIABENDAZOL;Quimico;0.010;T12;TIABENDAZOL;148798;SIM;Cenoura;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 2179/ANVISA 2015;07/08/2015 00:00:00.000000;
CLOROTALONIL;Quimico;0.500;C18;CLOROTALONIL;1897456;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO Nº 2.754, DE 9 DE OUTUBRO DE 2018;10/10/2018 00:00:00.000000;
CIPRODINIL;Quimico;0.200;C47;CIPRODINIL;121552612;SIM;Girassol;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 2.478, DE 09 DE JULHO DE 2014;11/07/2014 00:00:00.000000;
CLORFENAPIR;Quimico;0.200;C40;CLORFENAPIR;122453730;SIM;Repolho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
AZOXISTROBINA;Quimico;0.050;A26;AZOXISTROBINA;131860338;SIM;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
ESFENVALERATO;Quimico;0.050;E18;ESFENVALERATO;66230044;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
Fluxapiroxade;Quimico;0.500;F68;Fluxapiroxade;907204313;SIM;Maçã;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 3564/ANVISA 2013;24/09/2013 00:00:00.000000;
INDOXACARBE;Quimico;0.100;I21;INDOXACARBE;173584446;SIM;Pimentão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.446, DE 08 DE SETEMBRO DE 2014;09/09/2014 00:00:00.000000;13/03/2016 00:00:00.000000
CRESOXIM-METÍLICO;Quimico;0.010;C56;CRESOXIM-METÍLICO;143390890;SIM;Cebola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 4.971, DE 30 DE DEZEMBRO DE 2014;02/01/2015 00:00:00.000000;
FENAMIDONA;Quimico;0.200;F55;FENAMIDONA;161326347;SIM;Pimenta;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.186, DE 06 DE AGOSTO DE 2015;07/08/2015 00:00:00.000000;
Mancozebe;Quimico;1.000;M02;Mancozebe;8018017;SIM;Maracujá;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 567, DE 8 DE MARÇO DE 2018;12/03/2018 00:00:00.000000;
METOMIL;Quimico;0.010;M17;METOMIL;16752775;SIM;Dendê;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 111, DE 13 DE JANEIRO DE 2017;16/01/2017 00:00:00.000000;
Fluazinam;Quimico;0.040;F47;Fluazinam;79622596;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.370, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
Flupiradifurone;Quimico;0.600;F69;Flupiradifurone;951659408;SIM;Abóbora;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.379, DE 4 DE MAIO DE 2020;06/05/2020 00:00:00.000000;
Propinebe;Quimico;2.000;P41;Propinebe;9016722;SIM;Maçã;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
PROCIMIDONA;Quimico;0.500;P33;PROCIMIDONA;32809168;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
TRIADIMEFOM;Quimico;0.200;T17;TRIADIMEFOM;43121433;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CAPTANA;Quimico;2.000;C02;CAPTANA;133062;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
BETA-CIPERMETRINA;Quimico;0.020;C59;BETA-CIPERMETRINA;65731842;SIM;Manga;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.340, DE 17 DE AGOSTO DE 2015;19/08/2015 00:00:00.000000;27/05/2018 00:00:00.000000
CIANAZINA;Quimico;0.010;C08;CIANAZINA;21725462;NÃO;Café;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
ALFA-CIPERMETRINA;Quimico;0.500;C58;ALFA-CIPERMETRINA;67375308;SIM;Centeio;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 1.478, DE 2 DE JUNHO DE 2017;05/06/2017 00:00:00.000000;
Benzovindiflupir;Quimico;0.050;B46;Benzovindiflupir;1072957711;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 449, DE 12 DE FEVEREIRO DE 2014;13/02/2014 00:00:00.000000;
Espinetoram;Quimico;0.010;E32;Espinetoram;187166401;SIM;Batata-doce;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 657/ANVISA 2016;14/03/2016 00:00:00.000000;
FORMETANATO;Quimico;2.000;F40;FORMETANATO;22259309;SIM;Pimentão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 4.105, DE 15 DE DEZEMBRO DE 2006;18/12/2006 00:00:00.000000;
FLUTRIAFOL;Quimico;0.100;F36;FLUTRIAFOL;76674210;SIM;Inhame;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 4.703, DE 5 DE DEZEMBRO DE 2014;08/12/2014 00:00:00.000000;
Dicloreto de paraquate;Quimico;0.050;P01.1;Dicloreto de paraquate;1910425;SIM;Côco;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/09/2017 00:00:00.000000
HALOXIFOPE-P-METÍLICO;Quimico;0.010;H07.1;HALOXIFOPE-P-METÍLICO;72619320;SIM;Uva;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 32, DE 4 DE JANEIRO DE 2018;08/01/2018 00:00:00.000000;
Ortossulfamurom;Quimico;0.030;O19;Ortossulfamurom;213464778;SIM;Arroz;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 237/ANVISA 2011;21/01/2011 00:00:00.000000;
