NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA
PIRIDAFENTIONA;Quimico;0.050;P32;PIRIDAFENTIONA;119120;NÃO;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
PIRIDAFENTIONA;Quimico;0.500;P32;PIRIDAFENTIONA;119120;NÃO;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
PIRIMETANIL;Quimico;0.700;P43;PIRIMETANIL;53112280;SIM;Abobrinha;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 2.389, DE 2 DE SETEMBRO DE 2016;05/09/2016 00:00:00.000000;
PIRIMETANIL;Quimico;1.000;P43;PIRIMETANIL;53112280;SIM;Berinjela;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 2.389, DE 2 DE SETEMBRO DE 2016;05/09/2016 00:00:00.000000;
PIRIMETANIL;Quimico;0.700;P43;PIRIMETANIL;53112280;SIM;Caqui;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 2.389, DE 2 DE SETEMBRO DE 2016;05/09/2016 00:00:00.000000;
PIRIMETANIL;Quimico;0.700;P43;PIRIMETANIL;53112280;SIM;Chuchu;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 2.389, DE 2 DE SETEMBRO DE 2016;05/09/2016 00:00:00.000000;
PIRIMETANIL;Quimico;1.000;P43;PIRIMETANIL;53112280;SIM;Pimenta;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE N° 2.389, DE 2 DE SETEMBRO DE 2016;05/09/2016 00:00:00.000000;
PIRIMICARBE;Quimico;1.000;P10;PIRIMICARBE;23103982;SIM;Repolho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
PIRIPROXIFEM;Quimico;0.010;P34;PIRIPROXIFEM;95737681;SIM;Feijão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 181, DE 4 DE AGOSTO DE 2004;05/08/2004 00:00:00.000000;
PIRIPROXIFEM;Quimico;0.010;P34;PIRIPROXIFEM;95737681;SIM;Maçã;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
